Test_ID,Predicted_Reference_Parameter,Validity_Label,Interval_95_Lower,Interval_95_Upper,Interval_Width,Interval_Margin,Applied_Voltage_kV,Load_Current_A,Ambient_Temperature_C,Test_Duration_min,Sensor_S1,Sensor_S2,Sensor_S3,Sensor_S4,Anomaly_Score,Reason,Fault_Detected,Fault_Type,Fault_Sensor,Fault_Severity,Fault_Reason,Fault_Confidence,Mahalanobis_Distance,Cross_Sensor_Inconsistent,Contributing_Sensors,Multivariate_Anomaly_Score,S1_Residual,S2_Residual,S3_Residual,SHAP_Increased_Hotspot,SHAP_Decreased_Hotspot
TST-0213,13.4976,Invalid,12.0604,14.9348,2.8744,1.4372,10.7815,28.643,34.0578,35.4683,6.9661,-1.5509,8.8519,62.5186,8.9897,Sensor_S2 physical deviation (8.99 deg C > threshold 1.25),True,Sensor Dropout,Sensor_S2,Critical,Sensor_S2 registered negative drop of 8.99 deg C below expectation (potential loose thermocouple),"100.0% (Z=27.51, residual=8.99 C)",36.411,True,Sensor_S2,36.411,-0.151,-8.99,-0.377,Test_Duration_min; Applied_Voltage_kV; Sensor_S4,Load_Current_A; Sensor_S2; Ambient_Plus_Terminal
TST-0309,16.2421,Valid,14.8049,17.6793,2.8744,1.4372,16.9895,17.5129,33.8638,56.0507,9.9273,8.9823,13.4577,51.5367,0.7592,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),1.914,False,None,1.914,0.444,0.349,0.759,Test_Duration_min; Temp_Gradient_S3_S1; Sensor_S4; Applied_Voltage_kV,Load_Current_A; Sensor_S2; Power_Proxy_kVA
TST-0059,32.8891,Valid,31.4519,34.3263,2.8744,1.4372,26.0591,88.9589,25.7851,45.9196,17.9376,17.6153,22.2194,18.7081,0.2232,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),1.466,False,None,1.466,0.164,-0.223,0.117,Load_Current_A; Sensor_S2; Power_Proxy_kVA; Terminal_TempRise_Mean,Ambient_Plus_Terminal; Ambient_Temperature_C; Temp_Gradient_S2_S1
TST-0159,18.5291,Valid,17.0919,19.9663,2.8744,1.4372,14.5463,57.661,38.2906,20.6185,10.4681,11.2563,13.0968,37.4784,0.0548,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),0.531,False,None,0.531,-0.055,0.051,-0.004,Temp_Gradient_S2_S1,Load_Current_A; Sensor_S2; Power_Proxy_kVA
TST-0235,19.8472,Valid,18.41,21.2844,2.8744,1.4372,24.6289,45.278,33.5233,12.4976,14.391,13.5201,18.5109,29.2481,0.5064,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),1.434,False,None,1.434,-0.289,-0.109,-0.506,Sensor_S2; Terminal_TempRise_Mean; Sensor_S4; Sensor_S1,Load_Current_A; Ambient_Plus_Terminal; Power_Proxy_kVA
TST-0230,21.0769,Valid,19.6397,22.5141,2.8744,1.4372,28.5679,29.2333,43.2231,21.0961,15.5132,13.8946,20.5476,35.2323,0.2718,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),1.762,False,None,1.762,-0.173,0.272,-0.227,Ambient_Plus_Terminal; Sensor_S2; Terminal_TempRise_Mean; Sensor_S3,Load_Current_A; Power_Proxy_kVA; Temp_Gradient_S2_S1
TST-0323,38.3616,Valid,36.9244,39.7988,2.8744,1.4372,30.4644,65.3099,49.9651,54.9056,19.0634,18.3442,24.6539,48.6103,0.9983,Normal Operating Condition,True,Calibration Drift,Sensor_S2,Warning,Sensor_S2 shows borderline persistent bias of 1.00 deg C,99.8% (Z=3.06),3.123,False,None,3.123,0.479,0.998,0.868,Ambient_Plus_Terminal; Ambient_Temperature_C; Sensor_S2; Power_Proxy_kVA,Load_Current_A; Temp_Gradient_S2_S1; Applied_Voltage_kV
TST-0262,18.6145,Valid,17.1773,20.0517,2.8744,1.4372,22.5914,26.1866,39.8922,21.0825,12.7251,11.6936,16.874,50.0599,0.391,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),1.403,False,None,1.403,0.075,0.391,0.12,Ambient_Plus_Terminal; Sensor_S4,Load_Current_A; Power_Proxy_kVA; Sensor_S2
TST-0274,14.1911,Valid,12.7539,15.6283,2.8744,1.4372,11.3002,40.7979,18.0,30.5309,7.929,7.6853,9.9791,41.6685,0.9664,Normal Operating Condition,True,Multi-Sensor Correlation Anomaly,Sensor_S2,Warning,Cross-sensor residuals disagree with the robust covariance pattern (Mahalanobis D=3.61 > 3.37),99.5% (chi2 p=0.0046),3.609,True,Sensor_S2,3.609,-0.107,-0.966,-0.186,Applied_Voltage_kV; Sensor_S4,Load_Current_A; Sensor_S2; Ambient_Plus_Terminal
TST-0214,48.3867,Valid,46.9495,49.8239,2.8744,1.4372,12.8139,109.76,35.6494,39.5568,12.7839,15.0484,14.9072,34.461,0.3535,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),1.157,False,None,1.157,0.222,0.008,0.353,Load_Current_A; Temp_Gradient_S2_S1; Sensor_S2; Test_Duration_min,Ambient_Plus_Terminal; Power_Proxy_kVA; Sensor_S1
TST-0024,39.914,Valid,38.4768,41.3512,2.8744,1.4372,20.4345,95.5788,39.3619,43.8984,15.8176,17.0011,19.5139,50.2044,0.7265,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),1.981,False,None,1.981,0.379,0.539,0.727,Load_Current_A; Sensor_S2; Power_Proxy_kVA; Ambient_Plus_Terminal,Temp_Gradient_S3_S1; Sensor_S3
TST-0234,17.5596,Valid,16.1224,18.9968,2.8744,1.4372,23.7405,21.0849,27.3178,22.9669,12.8624,11.0039,16.9662,,0.2802,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),1.274,False,None,1.274,-0.058,-0.261,-0.28,Terminal_TempRise_Mean; Temp_Gradient_S3_S1; Applied_Voltage_kV,Load_Current_A; Ambient_Plus_Terminal; Sensor_S2
TST-0333,21.732,Valid,20.2948,23.1692,2.8744,1.4372,8.8163,78.9726,25.8768,35.6988,9.079,10.9973,10.4959,38.514,0.1319,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),0.963,False,None,0.963,0.132,-0.045,0.052,Temp_Gradient_S2_S1; Applied_Voltage_kV; Sensor_S4; Test_Duration_min,Ambient_Plus_Terminal; Sensor_S2; Power_Proxy_kVA
TST-0060,20.0809,Valid,18.6437,21.5181,2.8744,1.4372,25.2068,30.6893,44.595,15.0251,14.1027,12.7647,18.45,33.3171,0.2205,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),1.548,False,None,1.548,-0.051,0.177,-0.221,Ambient_Plus_Terminal; Sensor_S2; Terminal_TempRise_Mean; Ambient_Temperature_C,Load_Current_A; Power_Proxy_kVA; Temp_Gradient_S2_S1
TST-0226,36.0921,Valid,34.6549,37.5293,2.8744,1.4372,18.2307,93.4426,32.689,59.7919,14.7108,15.8764,17.7381,63.5371,0.4833,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),1.957,False,None,1.957,0.448,0.356,0.483,Load_Current_A; Power_Proxy_kVA; Sensor_S2; Temp_Gradient_S2_S1,Ambient_Plus_Terminal; Ambient_Temperature_C; Sensor_S1
TST-0197,16.2771,Valid,14.8399,17.7143,2.8744,1.4372,11.0812,58.1698,26.2404,56.4312,9.1219,9.9809,10.9111,50.6092,0.2341,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),1.998,False,None,1.998,0.234,-0.073,0.029,Test_Duration_min; Temp_Gradient_S2_S1; Applied_Voltage_kV; Sensor_S4,Load_Current_A; Sensor_S2; Ambient_Plus_Terminal
TST-0346,41.7363,Valid,40.2991,43.1735,2.8744,1.4372,9.3579,102.8407,36.2155,20.0467,10.3304,13.2904,11.9193,55.926,0.1919,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),1.482,False,None,1.482,-0.192,0.03,-0.055,Load_Current_A; Temp_Gradient_S2_S1; Applied_Voltage_kV; Ambient_Temperature_C,Ambient_Plus_Terminal; Sensor_S2; Power_Proxy_kVA
TST-0192,26.0207,Valid,24.5835,27.4579,2.8744,1.4372,8.9223,72.6009,46.0234,34.0276,8.9388,11.0353,10.6472,42.0529,0.4981,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),1.583,False,None,1.583,0.292,0.498,0.45,Ambient_Plus_Terminal; Temp_Gradient_S2_S1; Ambient_Temperature_C; Applied_Voltage_kV,Sensor_S2; Load_Current_A; Power_Proxy_kVA
TST-0141,29.2427,Valid,27.8055,30.6799,2.8744,1.4372,13.3048,85.0505,34.3735,30.9222,11.8451,13.4712,14.2471,53.0853,0.5967,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),1.59,False,None,1.59,0.409,0.364,0.597,Load_Current_A; Temp_Gradient_S2_S1; Applied_Voltage_kV; Terminal_TempRise_Mean,Ambient_Plus_Terminal; Power_Proxy_kVA; Sensor_S2
TST-0222,38.1269,Invalid,36.6897,39.5641,2.8744,1.4372,18.2133,97.1809,34.1877,21.9663,23.8557,15.6728,16.9729,48.4971,9.3951,Sensor_S1 physical deviation (9.40 deg C > threshold 1.25),True,Sensor Spike,Sensor_S1,Critical,Sensor_S1 registered abrupt positive spike of 9.40 deg C above thermodynamic expectation,"100.0% (Z=35.88, residual=9.40 C)",88.208,True,Sensor_S1,88.208,9.395,-0.16,-0.455,Load_Current_A; Ambient_Plus_Terminal; Power_Proxy_kVA; Sensor_S2,Temp_Gradient_S2_S1; Test_Duration_min; Ambient_Temperature_C
TST-0232,19.5295,Valid,18.0923,20.9667,2.8744,1.4372,24.5438,29.1066,33.8957,51.3796,14.2696,12.5722,18.8456,46.9703,0.6826,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),2.013,False,None,2.013,0.522,0.348,0.683,Sensor_S2; Test_Duration_min; Terminal_TempRise_Mean; Sensor_S1,Load_Current_A; Power_Proxy_kVA; Ambient_Plus_Terminal
TST-0085,23.5363,Valid,22.0991,24.9735,2.8744,1.4372,9.1909,73.9445,38.1861,33.4457,8.7382,10.6618,10.5879,31.6637,0.1502,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),2.005,False,None,2.005,-0.112,-0.082,0.15,Temp_Gradient_S2_S1; Applied_Voltage_kV; Ambient_Temperature_C; Sensor_S4,Sensor_S2; Load_Current_A; Power_Proxy_kVA
TST-0237,33.8148,Valid,32.3776,35.252,2.8744,1.4372,23.4683,86.3329,34.592,6.3724,16.081,16.3356,19.9149,51.4961,0.3861,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),1.413,False,None,1.413,-0.304,-0.386,-0.38,Load_Current_A; Sensor_S2; Power_Proxy_kVA; Ambient_Plus_Terminal,Test_Duration_min; Ambient_Temperature_C; Temp_Gradient_S3_S1
TST-0001,40.3341,Valid,38.8969,41.7713,2.8744,1.4372,21.4779,83.3627,48.7452,15.973,15.1441,16.1991,18.7374,49.9536,0.4165,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),2.069,False,None,2.069,-0.122,0.416,-0.122,Ambient_Plus_Terminal; Load_Current_A; Ambient_Temperature_C; Sensor_S2,Test_Duration_min
TST-0069,16.5743,Valid,15.1371,18.0115,2.8744,1.4372,10.5913,56.2404,38.0572,10.1248,8.314,9.5955,10.2184,46.0362,0.2511,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),0.987,False,None,0.987,-0.232,-0.125,-0.251,Temp_Gradient_S2_S1; Applied_Voltage_kV; Ambient_Temperature_C,Load_Current_A; Sensor_S2; Power_Proxy_kVA
TST-0272,23.1218,Valid,21.6846,24.559,2.8744,1.4372,8.1451,78.0445,33.3319,10.2305,8.8259,10.9604,10.3403,43.451,0.3771,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),0.99,False,None,0.99,0.252,0.228,0.377,Temp_Gradient_S2_S1; Applied_Voltage_kV,Sensor_S2; Ambient_Plus_Terminal; Power_Proxy_kVA
TST-0343,33.9886,Valid,32.5514,35.4258,2.8744,1.4372,9.6751,97.0962,26.3661,13.822,10.3682,12.6952,12.0466,56.9168,0.1855,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),1.383,False,None,1.383,0.01,-0.185,0.151,Load_Current_A; Temp_Gradient_S2_S1; Applied_Voltage_kV,Ambient_Plus_Terminal; Sensor_S2; Power_Proxy_kVA
TST-0320,26.4902,Valid,25.053,27.9274,2.8744,1.4372,17.078,77.5735,36.7631,6.1072,12.4342,13.5067,15.3888,57.24,0.4011,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),2.067,False,None,2.067,-0.401,-0.266,-0.335,Temp_Gradient_S2_S1; Sensor_S2; Ambient_Plus_Terminal; Ambient_Temperature_C,Load_Current_A; Power_Proxy_kVA; Test_Duration_min
TST-0008,34.1345,Invalid,32.6973,35.5717,2.8744,1.4372,25.4239,67.2428,45.0388,37.7633,13.6332,22.7995,20.9814,41.1833,7.0274,Sensor_S1 physical deviation (2.64 deg C > threshold 1.25); Sensor_S2 physical deviation (7.03 deg C > threshold 1.25),True,Other Sensor Anomaly,"Sensor_S1, Sensor_S2",Critical,"Simultaneous multi-sensor deviation on Sensor_S1, Sensor_S2",100.0% (Max Z=21.51),37.98,True,"Sensor_S2, Sensor_S1",37.98,-2.638,7.027,0.364,Ambient_Plus_Terminal; Sensor_S2; Power_Proxy_kVA; Temp_Gradient_S2_S1,Load_Current_A
TST-0144,23.3238,Valid,21.8866,24.761,2.8744,1.4372,31.8923,31.0437,46.4747,12.0202,16.8424,14.9533,22.5287,41.7626,0.5391,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),2.831,False,None,2.831,-0.539,0.03,-0.488,Ambient_Plus_Terminal; Sensor_S2; Ambient_Temperature_C; Terminal_TempRise_Mean,Load_Current_A; Temp_Gradient_S2_S1; Power_Proxy_kVA
TST-0184,21.7716,Valid,20.3344,23.2088,2.8744,1.4372,27.648,55.8922,34.1545,19.9183,16.9077,15.6656,21.776,35.5268,0.2792,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),0.779,False,None,0.779,0.194,0.092,0.279,Sensor_S2; Terminal_TempRise_Mean; Power_Proxy_kVA; Sensor_S3,Load_Current_A; Temp_Gradient_S2_S1; Test_Duration_min
TST-0107,55.0576,Valid,53.6204,56.4948,2.8744,1.4372,19.4864,106.0619,54.3637,6.589,15.2653,17.3427,18.637,58.9231,0.3158,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),2.777,False,None,2.777,-0.296,0.316,-0.055,Load_Current_A; Ambient_Plus_Terminal; Ambient_Temperature_C; Sensor_S2,Test_Duration_min; Sensor_S4
TST-0026,41.6568,Valid,40.2196,43.094,2.8744,1.4372,22.2404,99.3845,35.4165,21.2065,16.3566,17.2202,19.6217,70.1785,0.5231,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),1.942,False,None,1.942,-0.158,-0.188,-0.523,Load_Current_A; Sensor_S2; Power_Proxy_kVA; Temp_Gradient_S2_S1,Test_Duration_min; Ambient_Temperature_C; Sensor_S3
TST-0164,42.9116,Valid,41.4744,44.3488,2.8744,1.4372,17.8815,101.4197,33.0231,44.189,14.6114,16.123,17.2649,40.4544,0.158,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),1.699,False,None,1.699,0.076,0.045,-0.158,Load_Current_A; Sensor_S2; Power_Proxy_kVA; Temp_Gradient_S2_S1,Ambient_Plus_Terminal; Ambient_Temperature_C; Sensor_S1
TST-0217,32.3398,Valid,30.9026,33.777,2.8744,1.4372,31.8161,87.9172,19.6772,55.8612,20.8422,19.6316,26.2487,35.6528,0.4702,Normal Operating Condition,True,Genuine High-Temperature Operation,None (Equipment Alert),Warning,Sensors remain within physical residual bounds (|e| <= 1.25 deg C) and are jointly consistent; elevated temperature is consistent with high load rather than a sensor fault.,Physical Equilibrium Confirmed (MD=2.01),2.011,False,None,2.011,0.363,-0.104,0.47,Load_Current_A; Sensor_S2; Power_Proxy_kVA; Terminal_TempRise_Mean,Ambient_Plus_Terminal; Ambient_Temperature_C; Temp_Gradient_S2_S1
TST-0332,27.6955,Invalid,26.2583,29.1327,2.8744,1.4372,29.7448,82.0074,28.7318,21.8793,19.2792,,24.3918,50.8053,10.0,Missing readings in critical sensors: Sensor_S2,True,Missing Critical Sensor,Sensor_S2,Critical,Channel communication loss or unrecorded sensor in Sensor_S2,100.0% (Deterministic Rule),0.0,False,None,0.0,0.12,0.0,0.247,Load_Current_A; Power_Proxy_kVA; Terminal_TempRise_Mean; Sensor_S1,Ambient_Plus_Terminal; Temp_Gradient_S2_S1; Sensor_S2
TST-0279,23.984,Valid,22.5468,25.4212,2.8744,1.4372,21.7749,62.7317,35.7581,6.9035,13.8373,13.8483,17.5146,53.7516,0.5173,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),1.738,False,None,1.738,-0.434,-0.282,-0.517,Sensor_S2; Terminal_TempRise_Mean; Ambient_Temperature_C; Sensor_S3,Load_Current_A; Test_Duration_min; Power_Proxy_kVA
TST-0243,18.6511,Valid,17.2139,20.0883,2.8744,1.4372,21.7708,39.1138,28.7709,54.9118,13.3002,12.0503,17.489,52.7723,0.627,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),2.323,False,None,2.323,0.332,-0.069,0.627,Test_Duration_min; Terminal_TempRise_Mean; Sensor_S3,Load_Current_A; Ambient_Plus_Terminal; Power_Proxy_kVA
TST-0163,20.5546,Valid,19.1174,21.9918,2.8744,1.4372,22.7286,58.8769,33.1117,24.6777,14.258,13.8093,18.0511,55.444,0.4078,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),1.107,False,None,1.107,-0.259,-0.322,-0.408,Sensor_S2; Terminal_TempRise_Mean; Sensor_S3; Sensor_S1,Load_Current_A; Ambient_Plus_Terminal; Temp_Gradient_S2_S1
TST-0131,29.3252,Valid,27.888,30.7624,2.8744,1.4372,17.6913,88.751,24.1964,6.65,13.3136,14.3931,16.3243,55.5209,0.5421,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),2.697,False,None,2.697,-0.432,-0.542,-0.349,Load_Current_A; Power_Proxy_kVA; Temp_Gradient_S2_S1; Terminal_TempRise_Mean,Ambient_Plus_Terminal; Ambient_Temperature_C; Test_Duration_min
TST-0070,16.3872,Valid,14.95,17.8244,2.8744,1.4372,16.1736,18.3843,41.2771,17.7339,9.3211,8.864,12.6668,38.2243,0.4536,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),1.608,False,None,1.608,0.182,0.438,0.454,Ambient_Plus_Terminal; Applied_Voltage_kV; Temp_Gradient_S3_S1,Load_Current_A; Sensor_S2; Power_Proxy_kVA
TST-0137,18.5309,Valid,17.0937,19.9681,2.8744,1.4372,14.8974,58.1498,38.5729,29.9819,10.55,11.3101,13.4046,48.1728,0.1683,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),1.872,False,None,1.872,-0.168,-0.058,0.052,Temp_Gradient_S2_S1; Applied_Voltage_kV,Load_Current_A; Sensor_S2; Power_Proxy_kVA
TST-0210,29.3603,Valid,27.9231,30.7975,2.8744,1.4372,14.6736,85.4613,35.2264,20.4854,11.6721,13.2496,13.9598,53.0738,0.5972,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),1.708,False,None,1.708,-0.444,-0.365,-0.597,Load_Current_A; Temp_Gradient_S2_S1; Applied_Voltage_kV; Ambient_Temperature_C,Ambient_Plus_Terminal; Power_Proxy_kVA; Sensor_S2
TST-0288,20.8968,Valid,19.4596,22.334,2.8744,1.4372,8.5398,70.5543,28.757,53.8123,8.67,10.403,10.1043,42.7941,0.3195,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),1.669,False,None,1.669,0.32,0.172,0.256,Temp_Gradient_S2_S1; Test_Duration_min; Applied_Voltage_kV,Ambient_Plus_Terminal; Load_Current_A; Sensor_S2
TST-0248,17.9775,Valid,16.5403,19.4147,2.8744,1.4372,13.6352,48.8842,42.691,49.8638,9.649,10.5112,12.0659,35.2541,0.3663,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),1.641,False,None,1.641,0.047,0.366,-0.011,Ambient_Plus_Terminal; Test_Duration_min; Temp_Gradient_S2_S1; Applied_Voltage_kV,Load_Current_A; Sensor_S2; Power_Proxy_kVA
